215,"La decompressione da alta quota può dar luogo a liberazione di bolle gassose nel sangue, detti emboli. Qual è la condizione in cui questo pericoloso fenomeno può verificarsi con maggiore facilità?",[0/0]lenta ascensione oltre i 7000 metri.,[1/0]rapida ascensione a 7000 metri ed oltre.,[0/0]permanenza ad alta quota dopo lungo periodo di ambientamento.,

216,Durante il volo il corpo umano è sottoposto a vari tipi di accelerazione. Quali sono meglio sopportate tra quelle positive (testa-piedi) e quelle negative (piedi-testa)?,[0/0]entrambe in uguale misura.,[0/0]quelle negative.,[1/0]quelle positive.,

217,Le accelerazioni positive (testa-piedi) corrispondono a un aumento dei "G" o meglio a un aumento fittizio dell'accelerazione di gravità. Quando si possono manifestare in volo?,[1/0]durante virate corrette.,[0/0]durante il volo su traiettoria rettilinea con forte pendenza.,[0/0]durante brusche manovre di picchiata.,

218,Le accelerazioni negative (piedi-testa) corrispondono a una diminuzione dei "G" o meglio a una diminuzione fittizia della accelerazione di gravità. Quando si possono manifestare in volo?,[0/0]durante una brusca richiamata.,[1/0]durante brusche manovre di picchiata.,[0/0]durante il volo su traiettoria rettilinea con forte pendenza.,

219,Quando sussiste in volo il rischio che il pilota soffra di un oscuramento della vista a seguito di manovre che inducono forti accelerazioni?,[1/0]quando le accelerazioni indotte sono del tipo positivo (testa-piedi) e superano i 4 "G" per un tempo superiore a 4 secondi.,[0/0]quando comunque sono del tipo negativo (piedi-testa).,[0/0]quando si passa da accelerazioni positive ad accelerazioni negative senza soluzione di continuità in meno di 4 secondi.,

220,"Considerate le caratteristiche fisiologiche dell'uomo, è possibile eseguire correttamente un volo in nube, facendo affidamento sul solo senso dell'equilibrio?",[1/0]no.,[0/0]si.,"[0/0]sì, se l'equilibrio è affinato da adeguato addestramento. ",

221,Che cosa è l'atmosfera?,[0/0]è la massa gassosa che sovrasta la superficie terrestre e la cui altezza è praticamente illimitata.,[0/0]è la massa gassosa che sovrasta la superficie terrestre e la cui altezza è 12 km.,[1/0]è la massa gassosa di altezza ben definita che sovrasta la superficie terrestre la cui parte inferiore si definisce troposfera.,

222,Come può essere definita la troposfera?,[0/0]è la porzione inferiore dell'atmosfera compresa tra la superficie terrestre e la quota alla quale la pressione atmosferica è praticamente nulla.,[0/0]è la porzione inferiore dell'atmosfera compresa tra la superficie terrestre e la quota alla quale l'umidità dell'aria è uguale a zero.,"[1/0]è la porzione inferiore dell'atmosfera compresa tra la superficie terrestre e lo strato, detto tropopausa, all'interno del quale il gradiente termico verticale dell'aria è praticamente nullo.",

223,I fenomeni meteorologici (meteore) si verificano normalmente:,[1/0]all'interno della porzione di atmosfera terrestre detta troposfera.,[0/0]all'interno dell'intera atmosfera e sino al suo limite superiore.,[0/0]solo negli strati bassi della troposfera.,

224,"La quota della tropopausa, intesa come limite superiore della troposfera:","[0/0]è ben determinata, non è variabile e il suo valore è di 12 km.","[1/0]è variabile in funzione delle stagioni e della latitudine, il suo valore oscilla mediamente tra 8 km in corrispondenza dei poli e 16 km in corrispondenza dell'equatore.","[0/0]è variabile solo in funzione della latitudine, il suo valore è 8 km ai poli e 16 km all'equatore.",

225,L'aria è una miscela di gas formata prevalentemente da:,[0/0]ossigeno e gas rari.,"[1/0]azoto, ossigeno, vapore acqueo e gas rari.","[0/0]azoto, ossigeno e vapore acqueo condensato.",

226,Quali sono le caratteristiche fisiche dell'aria la cui combinazione o variazione da luogo normalmente ai fenomeni meteorologici?,"[0/0]pressione, temperatura e densità.","[0/0]pressione, velocità del vento e densità.","[1/0]pressione, temperatura e umidità.",

227,Il vapore acqueo è un gas invisibile contenuto nell'aria in percentuali variabili?,[1/0]si.,"[0/0]no, è un gas visibile.","[0/0]no, non è un gas ma acqua liquida in minuscole gocce quindi pur sempre visibile.",

228,"In natura esiste normalmente aria totalmente priva di vapore acqueo, cioè assolutamente secca?",[1/0]no.,[0/0]si.,"[0/0]si, in corrispondenza di regioni desertiche.",

229,Per umidità assoluta s'intende:,[1/0]la quantità in grammi di vapore acqueo contenuta in un metro cubo d'aria.,[0/0]la quantità in volume di vapore acqueo contenuta in un metro cubo d'aria.,[0/0]la quantità in grammi di vapore acqueo necessaria a saturare un metro cubo d'aria.,

230,Per umidità specifica s'intende:,[0/0]la quantità in grammi di vapore acqueo contenuta in un metro cubo d'aria.,[0/0]la quantità in volume di vapore acqueo contenuta in un metro cubo d'aria.,[1/0]la quantità in grammi di vapore acqueo contenuta in un chilogrammo d'aria.,

231,"Per umidità relativa, che è sempre espressa in percentuale, s'intende:",[0/0]la quantità in volume di vapore acqueo contenuta in un metro cubo d'aria.,[0/0]la quantità in volume di vapore acqueo contenuta in un chilogrammo d'aria.,[1/0]il rapporto esistente tra il contenuto attuale di vapore acqueo dell'aria ed il contenuto di vapore acqueo necessario alla saturazione (massimo contenuto di vapore acqueo possibile ai valori attuali di pressione e temperatura dell'aria).,

232,Come varia l'umidità relativa dell'aria abbassandone la sola temperatura?,[1/0]l'umidità relativa aumenta sino a raggiungere anche il valore del 100%.,[0/0]l'umidità relativa diminuisce.,[0/0]l'umidità relativa non varia al variare della temperatura se la pressione rimane costante.,

233,Come varia l'umidità relativa dell'aria all'aumentare della sola pressione atmosferica?,[0/0]l'umidità relativa diminuisce.,[1/0]l'umidità relativa aumenta anche sino a raggiungere il valore del 100%.,[0/0]l'umidità relativa non varia al variare della pressione se la temperatura rimane costante.,

234,Che cosa è la temperatura di rugiada?,[1/0]la temperatura alla quale l'aria diverrebbe satura se raffreddata senza subire variazioni di pressione.,[0/0]la temperatura alla quale l'aria diverrebbe satura se riscaldata senza subire variazioni di pressione.,[0/0]la temperatura alla quale si otterrebbe la saturazione aumentando la pressione di un millibar o hectopascal.,

235,Che cosa avviene quando per qualche motivo l'umidità relativa dell'aria raggiunge il valore del 100%?,[1/0]l'aria in questione diviene satura e in essa può aver luogo il processo di condensazione del vapore acqueo.,[0/0]l'aria in questione diviene satura e non può quindi aver luogo il processo di condensazione del vapore acqueo.,[0/0]l'aria in questione diviene satura e in essa può aver luogo il processo di condensazione del vapore acqueo solo qualora aumenti contemporaneamente la temperatura.,

236,Perché all'interno di una massa d'aria avvenga il processo di condensazione del vapore acqueo è necessario:,[0/0]abbassarne temperatura e pressione contemporaneamente.,[1/0]abbassarne la temperatura qualora la pressione rimanga costante.,[0/0]abbassarne la pressione qualora la temperatura rimanga costante.,

237,"Il processo di condensazione del vapore acqueo nell'aria atmosferica determina il passaggio di stato dell'acqua da gas a liquido. È' possibile affermare che tale processo sprigiona energia termica (calore latente di condensazione) che è trasmessa all'aria stessa, la cui temperatura varia conseguentemente?",[1/0]si.,"[0/0]no, perché i passaggi di stato dell'acqua dallo stato gassoso allo stato liquido e viceversa non sprigionano energia termica.","[0/0]no, perché comunque l'energia termica sprigionata non altera la temperatura dell'aria.",

238,L'evaporazione dell'acqua è un processo endotermico?,"[0/0]no, non è un processo endotermico.","[1/0]sì, infatti la temperatura dell'acqua liquida si abbassa durante l'evaporazione, a meno che non sia fornito calore dall'ambiente circostante.","[0/0]sì, infatti la temperatura dell'acqua liquida s'innalza perché l'evaporazione è un processo che libera calore.",

239,Quando all'interno di una massa d'aria si verifica il processo di condensazione del vapore acqueo la temperatura dell'aria stessa tende:,[0/0]a diminuire.,[0/0]a rimanere costante se non intervengono altri fattori.,[1/0]ad aumentare se non intervengono altri fattori.,

240,Generalmente si può affermare che i processi di condensazione e di evaporazione dell'acqua:,[1/0]rispettivamente forniscono e sottraggono calore alla massa d'aria interessata.,[0/0]non forniscono né sottraggono calore alla massa d'aria interessata.,[0/0]sono solo in grado di fornire calore alla massa d'aria interessata.,

241,È vero che i fenomeni meteorologici sono anche causati dai processi di trasformazione dell'acqua da liquido a vapore o a solido e viceversa per via delle conseguenti cessioni o sottrazioni di energia termica alle masse d'aria?,"[0/0]no, essi non hanno nulla a che vedere con quanto sopra.","[0/0]no, essi sono esclusivamente determinati dai processi di condensazione del vapore acqueo.",[1/0]si.,

242,"Le nubi, così come il fumo di una pentola in cui vi è acqua in ebollizione, sono costituite da vapore acqueo?","[1/0]no, ma da aerosol o piccolissime gocce di acqua allo stato liquido.","[0/0]sì, perché costituite da aerosol che sono molecole gassose molto grandi.","[0/0]sì, perché in determinate condizioni anche il vapore acqueo è un gas visibile.",

243,La pressione atmosferica si definisce come:,[0/0]il peso di una colonna d'aria pari a quello di una colonna di mercurio alta 1013.2 millimetri.,[0/0]il peso di una colonna d'aria di altezza unitaria.,[1/0]il peso della colonna d'aria che insiste sull'unità di superficie.,

244,Lo strumento per misurare la pressione atmosferica è:,[0/0]l'anemometro.,[0/0]il pressostato.,[1/0]il barometro.,

245,"Salendo in quota il valore della pressione atmosferica diminuisce, infatti diminuisce il peso della colonna d'aria che insiste sull'unità di superficie. Tale diminuzione prende il nome di:",[0/0]gradiente barico orizzontale.,[1/0]gradiente barico verticale.,[0/0]gradiente termico verticale.,

246,Il valore approssimativo della pressione atmosferica a circa 5500 m di altitudine sul livello del mare è:,[0/0]circa zero.,[0/0]un quarto di quello a livello del mare.,[1/0]la metà di quello a livello del mare (circa 500 millibar o hectopascal).,

247,"In atmosfera standard, quasi mai esistente in natura perché ideata dall'uomo come elemento di riferimento, la pressione al livello del mare è:",[1/0]1013.2 millibar o hectopascal.,[0/0]760 millibar.,[0/0]variabile secondo la latitudine.,

248,Se la pressione atmosferica in due punti della superficie terrestre dotati della medesima elevazione sul livello del mare è diversa si dice:,[0/0]che esiste un gradiente barico verticale.,[0/0]che l'atmosfera quel giorno non è standard.,[1/0]che esiste un gradiente barico orizzontale.,

249,Che cosa sono le isobare?,[0/0]le linee che uniscono i punti di uguale altitudine.,[0/0]le linee che uniscono i punti nei quali la pressione atmosferica è standard.,[1/0]le linee che uniscono i punti nei quali esiste uguale pressione atmosferica.,

250,Il vento cosiddetto di gradiente è normalmente:,[1/0]uno spostamento di aria nell'atmosfera da una zona a pressione maggiore ad una zona a pressione minore.,[0/0]uno spostamento di aria nell'atmosfera da una zona a pressione minore ad una zona a pressione maggiore.,[0/0]uno spostamento di aria nell'atmosfera dovuto esclusivamente alla presenza di zone della terra con temperature differenti.,

251,Perché la direzione del vento non è mai rettilinea da una zona di alta pressione a una zona di bassa pressione?,[0/0]solo perché la superficie terrestre è piena di ostacoli che il vento è costretto ad aggirare.,[0/0]solo perché attorno ad una zona di alta pressione esistono più zone di bassa pressione.,"[1/0]soprattutto perché esistono forze devianti, quali quella di Coriolis e quella di attrito col terreno, che non consentono al vento di procedere in direzione rettilinea.",

252,"Tutti i corpi, i liquidi e i gas in movimento rispetto alla superficie terrestre, dotati di una componente di moto parallela ai meridiani, vengono deviati dalla loro traiettoria inizialmente rettilinea. Come si chiama la forza deviante che determina ciò e a che cosa è dovuta?","[1/0]forza di Coriolis, dovuta alla rotazione della Terra attorno al proprio asse.","[0/0]forza di Coriolis, dovuta alla rivoluzione della Terra attorno al Sole.","[0/0]forza deviante, dovuta esclusivamente alla presenza degli attriti generati da ogni tipo di moto.",

253,"Nell'emisfero Nord la forza di Coriolis determina una deviazione del vento, nel suo dirigersi da una zona di alta pressione a una zona di bassa pressione, verso:",[0/0]sinistra.,[1/0]destra.,[0/0]altre zone adiacenti di alta pressione.,

254,"A seguito dell'intervento delle forze devianti, il vento nell'emisfero Nord circola attorno ad una zona od area di alta pressione in senso:",[0/0]antiorario se osservato dall'alto (es. da un satellite).,[1/0]orario se osservato dall'alto (es. da un satellite).,[0/0]orario se osservato dal basso.,

255,"A seguito dell'intervento delle forze devianti, il vento nell'emisfero Nord circola attorno ad una zona od area di bassa pressione in senso:",[0/0]antiorario se osservato dal basso.,[0/0]orario se osservato dall'alto (es. da un satellite).,[1/0]antiorario se osservato dall'alto (es. da un satellite).,

256,Come sono chiamate le zone o aree di bassa e di alta pressione?,[0/0]aree cicloniche e anticicloniche e indicate rispettivamente con una H/A (high pressure/alta pressione) e una L/B (low pressure/bassa pressione) sulle carte meteorologiche.,[1/0]aree cicloniche e anticicloniche e indicate rispettivamente con una L/B (low pressure/bassa pressione) e una H/A (high pressure/alta pressione) sulle carte meteorologiche.,[0/0]aree anticicloniche e cicloniche e indicate rispettivamente con L/B (low pressure/bassa pressione) e una H/A (high pressure/alta pressione) sulle carte meteorologiche.,

257,"Se su una carta meteorologica si osservano isobare molto ravvicinate, si può affermare che:",[0/0]esiste un gradiente barico orizzontale minimo e il vento sarà sostenuto.,[1/0]esiste un gradiente barico orizzontale elevato e il vento sarà sostenuto.,[0/0]esiste un gradiente barico verticale elevato e il vento sarà sostenuto.,

258,L'osservazione delle isobare sulla carta del tempo ci consente di:,[1/0]individuare la direzione e l'intensità del vento in una certa zona oltre ad altri dati meteorologici utili alla previsione del tempo.,[0/0]individuare elementi e dati utili solamente alla previsione del tempo inteso come copertura nuvolosa del cielo.,[0/0]individuare solamente il gradiente barico verticale per un confronto con i parametri dell'atmosfera standard.,

259,Nella pratica del Volo Libero che cosa s'intende comunemente per "vento meteorologico"?,"[0/0]il vento generato da fenomeni meteorologici rilevanti quali temporali, forti precipitazioni ecc.",[0/0]il vento generato da fenomeni microclimatici locali come le brezze di valle o di monte.,"[1/0]il vento di gradiente, prodotto dalla situazione barica attuale rilevabile dalle carte del tempo mediante l'osservazione delle isobare.",

260,A quale valore in gradi corrisponde la direzione di provenienza di un vento da Sud?,[0/0]135°.,[0/0]270°.,[1/0]180°.,

261,Un vento proveniente da Nord-Est ha la seguente provenienza in gradi:,[1/0]45°.,[0/0]225°.,[0/0]135°.,

262,Emisfero Nord: una Bassa Pressione si trova centrata a Nord di un preciso punto della superficie terrestre. Il vento predominante (meteorologico) che ci si attende di avere in quel punto proverrà ragionevolmente da:,[0/0]Nord.,[1/0]Ovest.,[0/0]Est.,

263,Emisfero Nord: una Bassa Pressione si trova centrata a Est di un preciso punto della superficie terrestre. Il vento predominante (meteorologico) che ci si attende di avere in quel punto proverrà ragionevolmente da:,[1/0]Nord.,[0/0]Sud.,[0/0]Ovest.,

264,Emisfero Nord: un'area di Alta Pressione si trova centrata a Nord di un preciso punto della superficie terrestre. Il vento predominante (meteorologico) che ci si attende di avere in quel punto proverrà ragionevolmente da:,[0/0]Ovest.,[1/0]Est.,[0/0]Nord.,

265,Emisfero Nord: un'area di Alta Pressione si trova centrata a Ovest di un preciso punto della superficie terrestre. Il vento predominante (meteorologico) che ci si attende di avere in quel punto proverrà ragionevolmente da:,[0/0]Sud.,[0/0]Est.,[1/0]Nord.,

266,Il Sole è la fonte principale di calore capace di elevare la temperatura dell'aria. Nella troposfera l'energia termica è trasmessa dal Sole direttamente all'aria stessa?,"[0/0]sì, in gran parte per irraggiamento.","[0/0]sì, totalmente per conduzione.","[1/0]no, in gran parte è trasmessa indirettamente.",

267,Il processo di trasmissione di energia termica secondo il quale il Sole riscalda la troposfera è:,"[1/0]irraggiamento del suolo, conduzione di calore dal suolo all'aria sovrastante, circolazione convettiva di aria calda verso l'alto.","[0/0]irraggiamento degli strati bassi dell'atmosfera per riflessione del suolo, circolazione convettiva di aria calda verso l'alto.",[0/0]conduzione diretta di calore dal sole agli strati bassi dell'atmosfera con successiva circolazione convettiva di aria calda verso l'alto.,

268,Durante una salita effettuata nella troposfera la temperatura dell'aria varia nel modo seguente:,[0/0]mediamente aumenta.,[0/0]rimane mediamente costante.,[1/0]mediamente diminuisce.,

269,La variazione della temperatura dell'aria al variare della quota si chiama:,[0/0]gradiente termico orizzontale.,[1/0]gradiente termico verticale.,[0/0]gradiente barico verticale.,

270,"Qual è il gradiente termico verticale dell'atmosfera standard, ideata dall'uomo come elemento di riferimento, ma i cui parametri sono difficilmente reperibili in natura?",[0/0]1° C ogni 100 m di quota.,[1/0]0.65° C ogni 100 m di quota.,[0/0]6.5° C ogni 100 m di quota.,

271,"Se, salendo in quota, si rileva la temperatura dell'aria ogni 100 m e si riportano i suoi valori su un grafico, si costruisce:",[1/0]la curva o diagramma di stato dell'atmosfera di quella località a quell'ora.,[0/0]l'adiabatica secca dell'atmosfera di quella località a quell'ora.,[0/0]l'isoterma di quella località a quell'ora.,

272,Il gradiente termico verticale dell'atmosfera in una determinata località a una certa ora si ricava:,[1/0]dalla curva di stato dell'atmosfera relativa a quella località ed a quell'ora della giornata.,[0/0]dalla carta del tempo relativa a quella località ed a quell'ora della giornata.,[0/0]dal confronto tra adiabatica secca e adiabatica satura relative a quella località ed a quell'ora della giornata.,

273,Una massa d'aria si solleva espandendosi con conseguente diminuzione della temperatura. Come si definisce il fenomeno e perchè?,[0/0]sollevamento convettivo perché avviene con scambio di calore con l'aria sovrastante.,[0/0]sollevamento dinamico perché avviene con una variazione molecolare dell'aria che si solleva.,[1/0]sollevamento adiabatico perché avviene in pratica senza scambio di calore con l'aria circostante.,

274,"In pratica l'aria che si solleva adiabaticamente, senza condensazione del vapore acqueo, perde:",[0/0]6.5° C di temperatura ogni 1000 m.,[1/0]1° C di temperatura ogni 100 m.,[0/0]valori di temperatura in funzione del gradiente termico verticale di quel giorno.,

275,"Il calo di temperatura dell'aria, che si solleva adiabaticamente di un certo valore di quota senza condensazione del vapore acqueo, si chiama:",[0/0]gradiente termico verticale e dipende dall'ora e dalla località in cui il fenomeno si verifica.,[0/0]gradiente adiabatico secco (o gradiente termico dell'adiabatica secca) e dipende principalmente dall'ora e dalla località in cui il fenomeno si verifica.,[1/0]gradiente adiabatico secco (o gradiente termico dell'adiabatica secca) e si può affermare con buona approssimazione che non dipende dall'ora e dalla località in cui il fenomeno si verifica.,

276,"L'aria che si solleva adiabaticamente contiene una certa quantità di vapore acqueo. Al diminuire della temperatura dell'aria si raggiungono le condizioni per cui il vapore acqueo inizia a condensare (temperatura dell'aria = temperatura di rugiada, umidità relativa = 100 %). L'ulteriore salita dell'aria determina un calo di temperatura di:",[0/0]1° C ogni 100 m (Il gradiente è sostanzialmente costante con la quota).,"[1/0]0.5° C circa ogni 100 m (Il gradiente non è costante con la quota, ma al diminuire della temperatura esso tende ad aumentare).",[0/0]2° C circa ogni 100 m.,

277,Come chiamiamo il sollevamento di aria alla presenza di fenomeni di condensazione del vapore acqueo?,[1/0]sollevamento adiabatico saturo o in regime di saturazione.,[0/0]sollevamento adiabatico anomalo perché in condizioni di saturazione.,[0/0]sollevamento adiabatico secco perché in condizioni di non saturazione.,

278,Se il gradiente termico verticale della giornata è superiore ad 1° C ogni 100 m l'aria si definisce:,[0/0]stabile.,[1/0]instabile.,[0/0]dotata di equilibrio indifferente.,

279,Il fattore che ci indica se l'aria è stabile o instabile è:,[0/0]il gradiente adiabatico secco dell'aria.,[1/0]il gradiente termico verticale.,[0/0]il gradiente adiabatico saturo dell'aria.,

280,Se l'aria risulta instabile dall'osservazione del suo gradiente termico verticale ci dovremo attendere che:,[0/0]una bolla d'aria che si stacca dal suolo dotata di moto convettivo arresti la sua salita molto presto.,[1/0]una bolla d'aria che si stacca dal suolo dotata di moto convettivo continui nella sua salita con velocità sempre maggiore.,[0/0]una bolla d'aria che raggiunge una temperatura di poco superiore a quella dell'aria circostante riesca comunque a staccarsi dal suolo.,

281,"Una massa d'aria molto umida, caratterizzata da diffuse formazioni nuvolose, si dice "stabile" quando:",[1/0]il suo gradiente termico verticale è inferiore al gradiente adiabatico saturo.,[0/0]il suo gradiente termico verticale è superiore ad 1°C ogni 100 m.,[0/0]il suo gradiente termico verticale è inferiore al gradiente adiabatico secco.,

282,Se il gradiente termico verticale di una massa d'aria asciutta (cioè non satura) è inferiore ad 1°C ogni 100 m si dice che essa è:,[1/0]stabile.,[0/0]instabile.,[0/0]dotata di equilibrio indifferente.,

283,A una certa quota la temperatura ambiente dell'aria è pari a 12°C. Se una bolla d'aria salendo si trova ad avere una temperatura di 14°C alla stessa quota essa:,[0/0]si arresterà immediatamente.,[0/0]inizierà sicuramente a scendere.,[1/0]continuerà sicuramente la sua salita.,

284,"Se una bolla d'aria contenente un'alta percentuale di umidità relativa inizia a salire dotata di moto convettivo, in che modo la condensazione del vapore acqueo influenza la sua salita?",[0/0]probabilmente ne interrompe il moto ascensionale.,[1/0]sicuramente ne accelera il moto ascensionale.,[0/0]probabilmente la condensazione del vapore acqueo non influenza il moto ascensionale.,

285,"Se l'aria è moderatamente instabile, una bolla d'aria umida che inizia a salire perché riscaldata dal terreno più dell'aria circostante, raggiunta la quota di condensazione:",[1/0]salirà sicuramente più veloce.,[0/0]si arresterà sicuramente.,[0/0]inizierà una rapida discesa.,

286,"Se l'aria è molto stabile, una bolla d'aria che per motivi convettivi inizi a salire staccandosi dal terreno:",[0/0]continuerà a salire sempre più velocemente.,[0/0]salirà almeno sino alla quota di condensazione.,[1/0]si arresterà quanto prima venendo a mancare la spinta di galleggiamento o di Archimede.,

287,"Supponendo di essere in presenza di aria umida ed instabile associata a condizioni di forte riscaldamento del terreno, vi è la possibilità che si creino:",[1/0]forti correnti ascensionali e nubi cumuliformi.,[0/0]forti correnti ascensionali ma non certo nubi cumuliformi.,[0/0]nebbia e nubi stratificate.,

288,I moti termo-convettivi dell'aria sono:,[0/0]moti orizzontali di masse d'aria da zone di alta pressione a zone di bassa.,[0/0]moti ascensionali di aria che è forzata verso l'alto dalla presenza di rilievi.,"[1/0]moti ascensionali di aria che, più calda di quella circostante, tende a sollevarsi grazie alla spinta di galleggiamento o di Archimede.",

289,"Quando il vento al suolo è assente o per lo più debole, l'attività termo-convettiva in pianura e nelle valli dà luogo a:",[0/0]vento di gradiente.,[1/0]bolle o colonne termiche dotate di moto ascensionale.,[0/0]formazioni nuvolose a carattere stratificato.,

290,"Le bolle termiche saranno facilitate a staccarsi da terra, a parità di altre condizioni, da:",[0/0]calma di vento su superfici prive di ostacoli.,[1/0]leggero venticello su superfici irte di ostacoli.,[0/0]leggero venticello su superfici prive di ostacoli.,

291,I moti termo-convettivi sono determinati principalmente:,[0/0]da condizioni di stabilità dell'aria.,[0/0]da condizioni di forte umidità dell'aria.,[1/0]da forte riscaldamento del terreno e dal conseguente riscaldamento per conduzione dell'aria sovrastante.,

292,La differente natura e colorazione del terreno favorisce:,[0/0]il crearsi delle condizioni di instabilità dell'aria.,[0/0]il crearsi del vento di gradiente.,[1/0]il distacco di bolle o colonne termiche.,

293,"Se non vi è umidità sufficiente a consentire il raggiungimento delle condizioni di saturazione del vapore acqueo, le termiche che si formeranno saranno chiamate:",[1/0]termiche secche o blu.,[0/0]termiche adiabatiche.,[0/0]termiche convettive.,

294,Se l'aria è sufficientemente umida potranno essere evidenziate le termiche esistenti e da che cosa?,"[0/0]si, dalla formazione di nubi stratificate ad una certa quota.","[1/0]si, dalla formazione di nubi cumuliformi ad una certa quota.","[0/0]si, ma comunque non dalla presenza di alcun tipo di nube.",

295,Durante le ore più calde su quale tipo di terreno ci si può attendere con più probabilità di trovare movimento convettivo di aria?,[0/0]su prati verdi.,[0/0]su una superficie acquea.,[1/0]su un terreno roccioso.,

296,"Oltre al moto convettivo dell'aria riscaldata per conduzione dal terreno sottostante, si può verificare un movimento ascensionale dell'aria per altri motivi?","[1/0]si, per sollevamento forzato in presenza di vento in corrispondenza di rilievi.","[0/0]si, per sollevamento forzato in presenza di vento sulle pianure.",[0/0]no.,

297,Come si chiama il sollevamento dell'aria generato dalla presenza di vento in corrispondenza di rilievi montuosi?,[1/0]sollevamento dinamico o "dinamica di pendio" in gergo volo liberistico.,[0/0]sollevamento adiabatico.,[0/0]sollevamento termodinamico.,

298,Può un iniziale sollevamento dinamico generato dalla presenza di vento e di rilievi montuosi trasformarsi in sollevamento termico puro?,"[0/0]si, solo in presenza di condizioni di stabilità dell'aria.","[1/0]si, in presenza di particolari condizioni di instabilità dell'aria, con molte più probabilità al di sopra della quota di condensazione.","[0/0]no, neppure in presenza di particolari condizioni di instabilità dell'aria.",

299,Che cosa si potrà verificare qualora si stacchino delle bolle termiche alla presenza di vento moderato che sospinge l'aria su per un pendio?,[1/0]che si generino correnti ascensionali di notevole intensità.,[0/0]che si generino solamente condizioni di forte turbolenza.,[0/0]che prevalgano comunque le condizioni di "dinamica" rispetto a quelle di "termica".,

300,Che cosa s'intende per inversione termica?,[0/0]una diminuzione anomala della temperatura dell'aria ad una certa quota.,"[1/0]un andamento anomalo della temperatura dell'aria, quando essa aumenta con l'aumentare della quota.",[0/0]l'inversione di moto di una bolla la cui temperatura ha raggiunto il valore di quella dell'aria circostante.,

301,Quando si verifica un'inversione termica in prossimità del suolo può accadere che:,[0/0]si formi qualche nube cumuliforme con base quasi sul terreno.,[0/0]la visibilità aumenti considerevolmente in corrispondenza del suolo stesso.,[1/0]si formi nebbia al suolo durante le ore notturne.,

302,Come si riconosce dal pendio di decollo la presenza di un eventuale strato d'inversione sottostante?,"[1/0]dalla presenza di foschia sotto lo strato di inversione, caratterizzata da un limite piuttosto netto.",[0/0]dalla presenza di nubi convettive a partire dalla base dello strato stesso.,[0/0]dalla presenza di una situazione di grande visibilità al di sotto della base dello strato d'inversione.,

303,"Al decollo da un pendio, la presenza di uno strato d'inversione che tipo di messaggi può suggerirci?",[0/0]nessun messaggio meteorologico o aerologico particolare.,[1/0]messaggi di sospetta possibile turbolenza anche forte e comunque di cambio delle condizioni aerologiche all'attraversamento della base dello strato stesso.,[0/0]qualche messaggio riguardante la possibilità di formazioni cumuliformi sopra lo strato stesso.,

304,Che e cosa s’intende per “pertur­bazione meteorologica” causata dal passaggio di un fronte?,[1/0]il corpo nuvoloso ed i fenomeni associati alla presenza di una superficie di discontinuità esistente tra due masse d'aria aventi caratteristiche fisiche diverse.,[0/0]il corpo nuvoloso associato alle rapide variazioni di pressione atmosferica al suolo dovuta all'avanzare delle masse d'aria.,[0/0]il corpo nuvoloso associato a forti venti su rilievi montuosi quando le masse d'aria si muovono sul terreno.,

305,Che cos’è un fronte caldo?,[0/0]è la a superficie di separazione tra una massa d’aria fredda che spostandosi raggiunge una massa d’aria più calda.,[1/0]è la superficie di separazione tra una massa d’aria calda che spostandosi raggiunge una massa d’aria più fredda.,[0/0]è un fenomeno non legato ad alcun evento meteorologico.,

306,Quali fenomeni meteorologici genera normalmente un fronte caldo al suo passaggio?,"[0/0]nubi a sviluppo prevalentemente verticale (tipicamente Cumuli congesti, Cumulonembi), precipitazioni violente ed a carattere discontinuo o in forma di rovescio, con aumento della temperatura media.","[1/0]nubi a sviluppo prevalentemente orizzontale a quote diverse (tipicamente Nembostrati, Altostrati e Strati), precipitazioni mediamente non violente ma a carattere continuo con aumento della temperatura media.","[0/0]nubi a sviluppo orizzontale molto basse (tipicamente Strati e Stratocumuli), precipitazioni solo a carattere discontinuo e violento con aumento della temperatura media.",

307,Che cos’è un fronte freddo?,[1/0]è la superficie di separazione tra una massa d’aria fredda che spostandosi raggiunge una massa d’aria più calda.,[0/0]è la superficie di separazione tra una massa d’aria calda che spostandosi raggiunge una massa d’aria più fredda.,[0/0]è un fenomeno non legato ad alcun evento meteorologico. ,

308,Quali fenomeni meteorologici genera normalmente un fronte freddo al suo passaggio?,"[0/0]nubi a sviluppo orizzontale, precipitazioni a carattere debole e continuo con diminuzione della temperatura.","[0/0]nubi a sviluppo verticale, precipitazioni a carattere debole e continuo con diminuzione della temperatura e condizioni di stabilità dell’aria dopo il passaggio del fronte stesso.","[1/0]nubi a sviluppo verticale, precipitazioni a carattere violento e discontinuo con diminuzione della temperatura e condizioni di instabilità dell’aria dopo il passaggio del fronte stesso.",

309,Presenza di nubi cumuliformi a ingente sviluppo verticale (tipicamente Cumuli congesti e Cumulonembi) e condizioni d’instabilità dell’aria sono generalmente associate al passaggio di:,[1/0]un fronte freddo.,[0/0]un fronte caldo.,[0/0]una forte inversione termica alle quote medie.,

